Parameter,Phase,Value
Isocenter,Non-Contrast,Mid Body
SFOV,Non-Contrast,Large Body (50cm)
Pitch,Non-Contrast,.992:1
Beam Collimation ,Non-Contrast,80mm
Rotation speed,Non-Contrast,0.6
kVp ,Non-Contrast,120
Noise Index,Non-Contrast,12
mA,Non-Contrast,150-740
CTDI (mGy),Non-Contrast,6.14-28.71
Avg DLP (mGy*cm),Non-Contrast,500
Isocenter,Post-Contrast,Mid Body
SFOV,Post-Contrast,Large Body (50cm)
Pitch,Post-Contrast,.516:2
Beam Collimation ,Post-Contrast,80mm
Rotation speed,Post-Contrast,0.6
kVp ,Post-Contrast,120
Noise Index,Post-Contrast,12
mA,Post-Contrast,150-741
CTDI (mGy),Post-Contrast,6.14-28.71
Avg DLP (mGy*cm),Post-Contrast,500
